RAZAO;INFORMAL;RAMOATIVID;TIPOEMP;UNIDADE;TEL1;TELC2;FAX;NCHECKOUT;ENDEMP;BAIRROEMP;CEP;CIDADEEMP;UFEMP;Origem 
Marupe Engenharia e Construcoes Ltda;MARUPE;Prestação Serviços Construtora;Matriz;;11-3106-6836;;;0;R Jose Bonifacio, 278 3andar conj. 312;Centro;01003-000;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - GUARUJA - CENTRO;Varejo Alimenticio;Filial;1008;13 3387-2219;;;0;Av Benjamin Constant, 153;Centro;01005-900;Guaruja;SP;MKR
Servico Social do Comercio;SESC CARMO;Prestação Serviços Clubes;Matriz;Carmo;3105-9121;;;0;R do Carmo, 147;Centro;01019-020;Sao Paulo;SP;MKR
Comercio de Miudos Luigi Ltda;MIUDOS LUIGI;Varejo Alimenticio;Matriz;;228-1809;;;0;R da Cantareira, 306 R B box 28;Mercado da Cantareira;01024-000;Sao Paulo;SP;MKR
Distribuidora de Carnes Irmaos Gaspar Ltda;CARNES IRMAOS GASPAR;Varejo Alimenticio;Matriz;;228-1989;;;0;R da Cantareira, 306 R D box 32;Mercado da Cantareira;01024-000;Sao Paulo;SP;MKR
Ki Peixe Comercio de Pescados Ltda;KI PEIXE;Varejo Alimenticio;Matriz;;3312-0066;;;0;R da Cantareira, 306;Mercado da Cantareira;01024-000;Sao Paulo;SP;MKR
Laticinios Piramide Ltda;LATICINIOS PIRAMIDE;Varejo Alimenticio;Matriz;;3311-8057;;;0;R da Cantareira, 306;Mercado da Cantareira;01024-000;Sao Paulo;SP;MKR
Sergio Goncalves Pacheco;BANCA DO PACHECO;Varejo Alimenticio;Matriz;;228-0296;;;0;R Cantareira, 306 Rua D box 19;Mercado Municipal;01024-000;Sao Paulo;SP;MKR
J Martins Supermercados Planalto Ltda;SUPERMERCADOS PLANALTO;Varejo Alimenticio;Matriz;Escritorio;11-229-6304;;;0;R Antonio Paes, 135;Luz;01027-020;Sao Paulo;SP;MKR
Lojas Besni Center Ltda;BESNI;Varejo Outros;Matriz;;11-3357-0500;;;0;R 24 de Maio, 195;Centro;01041-001;Sao Paulo;SP;MKR
Mina Doce Bomboniere Ltda;MINA DOCE;Varejo Alimenticio;Matriz;;11-3255-3279;;;0;Pca da Republica, 138;Centro;01045-000;Sao Paulo;SP;MKR
Econ Distribuicao S/A;ECON SUPERMERCADOS;Varejo Alimenticio;Filial;;11-3259-0196;;;3;R Martins Fontes, 163;Se;01050-000;Sao Paulo;SP;MKR
Bayard Textil Ltda;BAYARD;Varejo Outros;Matriz;;11-3225-0707;;11-3225-0707;0;R Jose Paulino, 542;Bom Retiro;01120-000;Sao Paulo;SP;MKR
Sam's Club;SAM'S CLUB  BARRA FUNDA;Varejo Outros;Filial;02;11 2179-6400;;;0;Av rudge,500;Barra Funda;01134-000;Sao Paulo;SP;MKR
Brasilata S/A Embalagens Metalicas;BRASILATA;Industria Outros;Matriz;;11-3871-8500;;;0;R Robert Bosh, 332;Barra Funda;01141-010;Sao Paulo;SP;MKR
Comercial Hirota;SM HIROTA;Varejo Alimenticio;Filial;06;11-3666-0795;;11-3666-0795;8;Av Gal Olimpio da Silveira, 39;Santa Cecilia;01150-001;Sao Paulo;SP;MKR
Refrigeracao Servsempre Ltda;SERVSEMPRE;Varejo Outros;Matriz;;11-222-4094;;11-221-4886;0;R Barao de Campinas, 542;Campos Elisios;01201-001;Sao Paulo;SP;MKR
Maximida Comercial de Fitas Ltda;MAXIMIDIA;Varejo Outros;Matriz;;11-3352-7600;;11-3352-7600;0;R Santa Ifigenia, 601;Santa Ifigenia;01207-001;Sao Paulo;SP;MKR
York International Ltda;YORK;Varejo Outros;Matriz;;11-3334-2408;;;0;Al Glete, 557;Campos Elisios;01215-000;Sao Paulo;SP;MKR
Climoar Comercial Importacao e Servico Ltda;CLIMOAR;Varejo Outros;Filial;;11-3334-5300;;11-221-9100;0;Al Glete, 920;Campos Elisios;01215-001;Sao Paulo;SP;MKR
San Marino Comercio de Refrigeracao ME;SAN MARINO;Varejo Outros;Matriz;;11-3224-0447;;11-3224-0447;0;Al Glete, 745;Campos Elisios;01215-001;Sao Paulo;SP;MKR
Comercial FHI de Produtos Alimenticios Ltda;SM NOTHMANN;Atacado Alimentos;Matriz;;11-3661-5200;;11-3661-5200;0;Rua Barrao de Limeira 1217;Campos Elizio;01217-010;Sao Paulo;;MKR
Mercado Eduardo Prado Sul Brasil Ltda;SUPERMERCADO SUL BRASIL;Varejo Alimenticio;Matriz;;11-3661-6439;;11-3661-6439;0;Al Eduardo Prado, 843;Campos Elisios;01218-010;Sao Paulo;SP;MKR
Korifrio Equipamentos Frigorificos Ltda;KORIFRIO;Industria da Carne;Matriz;;11-3331-0276;;11-3331-0276;0;R Bento Freitas, 162  Sl 204;Vl Buarque;01220-000;Sao Paulo;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;19;11-3337-1488;;;0;R Rego Freitas, 40/48;Republica;01220-010;Sao Paulo;SP;MKR
Servico Social do Comercio;SESC  CONSOLACAO;Prestação Serviços Clubes;Matriz;ConsolaþÒo;3234-3001;;;0;R Dr Vila Nova, 245;Vl Buarque;01222-020;Sao Paulo;SP;MKR
Imunolab S/C Ltda;IMONOLAB;Varejo Outros;Matriz;;011-3662-4050;;;0;Av. Pacaembu, 1261;Barra Funda;01234-001;Sao Paulo;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - PACAEMBU;Varejo Alimenticio;Filial;0039;11-3862-1665;15 pisos pr 9,9;11-3865-4024;9;Pca Wendel Wilkie, 11;Pacaembu;01236-050;Sao Paulo;SP;MKR
Plaza Sao Paulo Administradora SC Ltda;SHOPPING PATIO HIGIENOPOLIS;Varejo Outros;Matriz;;3823-2300;;;0;Av Higienopolis, 618;Higienopolis;01238-000;Sao Paulo;SP;MKR
G Kalili e Freitas Arquitetura Ltda;KALILI;Prestação Serviços Construtora;Matriz;;11-3864 8700;;;0;R CatalÒo, 171;Sumare;01255-020;Sao Paulo;SP;MKR
Carlos Eduardo Minniti EPP;KINGS SANDUICHES;Industria Alimentícia;Matriz;;11-3872-3291;;11-3872-1217;0;R Salto Grande, 57;Sumare;01257-020;Sao Paulo;SP;MKR
Bem Me Quer Lanches;BEM ME QUER LANCHES;Varejo Alimenticio;Matriz;;11-3945-1668;;;0;R da Consolacao, 2078;Cerqueira Cesar;01302-001;Sao Paulo;SP;MKR
